Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),PEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,"Corporate Accounting Services, 80 Park Plaza, 9Th Floor, NEWARK, NJ, 07102-4194 US",12525,Multiline Utilities,1985,New York Stock Exchange,USD,59.24,58.88,0.36,0.61%,59.00,59.31,58.64,69.27,52.51,499111100,2504474.00,2220470,0.60,29567341564,10.60,Stock,9/6/23 23:53,1948-03-31,1031000000,465000000,1944000000,6680000000,-0.04
PUBLIC STORAGE OPERATING COMPANY (XNYS:PSA),PSA,PUBLIC STORAGE OPERATING COMPANY,"701 Western Ave, GLENDALE, CA, 91201-2349 US",5900,Residential & Commercial REIT,2007,New York Stock Exchange,USD,268.73,271.19,-2.46,-0.91%,271.10,272.22,266.01,343.47,266.01,175829500,794884.00,819458,0.47,47250661535,11.75,Stock,9/6/23 23:37,1984-10-19,4349147000,775253000,NA,514680000,-0.03
"PULTEGROUP, INC. (XNYS:PHM)",PHM,"PULTEGROUP, INC.","3350 Peachtree Road Northeast, Suite 1500, ATLANTA, GA, 30326 US",6524,Homebuilding & Construction Supplies,1987,New York Stock Exchange,USD,79.21,77.89,1.32,1.69%,78.13,79.45,77.85,86.16,35.99,219445500,2055802.00,2283822,1.39,17382278055,6.43,Stock,9/6/23 23:42,1983-06-29,2617317000,1053104000,NA,2355993000,0.71
"Q.E.P. CO., INC. (OTCM:QEPC)",QEPC,"Q.E.P. CO., INC.","1001 Broken Sound Pkwy NW, BOCA RATON, FL, 33487-3532 US",360,Homebuilding & Construction Supplies,1996,OTC Markets,USD,12.02,12.02,0.00,0.00%,12.02,12.02,12.02,20.98,11.15,3293000,148.00,960,-0.24,39581860,15.68,Stock,9/1/23 18:37,1996-09-18,-63000,NA,49499000,83610000,-0.16
QUALCOMM INCORPORATED (XNAS:QCOM),QCOM,QUALCOMM INCORPORATED,"5775 Morehouse Dr, SAN DIEGO, CA, 92121 US",51000,Semiconductors & Semiconductor Equipment,1991,Nasdaq Stock Market,USD,114.68,116.55,-1.87,-1.60%,116.00,116.72,113.63,139.94,101.47,1116000000,7411905.00,8125825,1.25,127982880000,15.23,Stock,9/6/23 23:59,1991-12-13,12936000000,2773000000,4175000000,11866000000,0.06
"QUANTA SERVICES, INC. (XNYS:PWR)",PWR,"QUANTA SERVICES, INC.","2727 NORTH LOOP WEST, HOUSTON, TX, 77008-1044 US",47300,Construction & Engineering,1997,New York Stock Exchange,USD,209.09,208.81,0.28,0.13%,209.24,211.07,207.51,212.82,123.25,145199000,509255.00,682387,1.08,30359658910,53.39,Stock,9/6/23 23:33,1998-02-12,491189000,229100000,4754731000,3406194000,0.47
QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX),DGX,QUEST DIAGNOSTICS INCORPORATED,"500 Plaza Drive, SECAUCUS, NJ, 07094 US",40000,Healthcare Providers & Services,1996,New York Stock Exchange,USD,127.14,127.24,-0.10,-0.08%,126.72,127.63,125.53,158.34,120.40,112235000,725102.00,704608,0.94,14269557900,18.54,Stock,9/6/23 23:00,1996-12-17,946000000,315000000,1195000000,1551000000,-0.19
RA INTERNATIONAL GROUP PLC (XLON:RAI),RAI,RA INTERNATIONAL GROUP PLC,"One Fleet Place, LONDON, UNITED KINGDOM-NA, EC4M 7WS GB",1361,Professional & Commercial Services,2018,London Stock Exchange,GBp,10.00,10.00,0.00,0.00%,10.00,NA,NA,22.00,9.00,173575700,1356.00,3110,0.43,17437750,0.00,Stock,9/6/23 0:00,No data,NA,NA,NA,NA,No data
RALPH LAUREN CORPORATION (XNYS:RL),RL,RALPH LAUREN CORPORATION,"650 Madison Ave, NEW YORK, NY, 10022 US",14900,Textiles & Apparel,1997,New York Stock Exchange,USD,117.67,117.34,0.33,0.28%,116.58,118.17,116.53,135.76,82.23,65269230,765352.00,921234,1.43,7680230294,15.00,Stock,9/6/23 23:00,1997-06-12,NA,NA,NA,NA,0.11
RANGE RESOURCES CORPORATION (XNYS:RRC),RRC,RANGE RESOURCES CORPORATION,"100 Throckmorton St Ste 1200, FORT WORTH, TX, 76102-2842 US",544,Oil & Gas,1980,New York Stock Exchange,USD,32.18,32.29,-0.11,-0.34%,32.00,32.53,31.67,34.54,22.61,241352100,2294926.00,2110855,2.12,7766710578,4.70,Stock,9/6/23 23:00,1996-10-11,NA,NA,NA,NA,0.29
RED HILL MINERALS LIMITED (XASX:RHI),RHI,RED HILL MINERALS LIMITED,"Level 2, 9 Havelock Street, PERTH, WESTERN AUSTRALIA, 6005 AU",0,Metals & Mining,2005,Australian Securities Exchange,AUD,4.20,4.24,-0.04,-0.94%,4.23,4.23,4.20,4.88,3.13,63828150,1512.00,2840,1.10,270631300,NA,Stock,9/7/23 1:52,1980-03-17,NA,NA,NA,NA,0.00
RED LIGHT HOLLAND CORP. (XCNQ:TRIP),TRIP,RED LIGHT HOLLAND CORP.,"1 Adelaide Street East, Suite 801, TORONTO, ON, M5C 2V9 CA",NA,Pharmaceuticals,2020,Canadian National Stock Exchange,CAD,0.07,0.07,0.00,0.00%,0.08,0.08,0.07,0.17,0.07,395035100,957236.00,262290,1.58,27652457,NA,Stock,9/6/23 19:51,2011-12-21,NA,NA,NA,NA,-0.11
Redcare Pharmacy NV (XFRA:RDC),RDC,Redcare Pharmacy NV,"Erik de Rodeweg 11/13, SEVENUM, LIMBURG, 5975 WD NL",1847,Food & Drug Retailing,2015,Deutsche Boerse AG,EUR,104.95,106.35,-1.40,-1.32%,106.30,106.30,104.95,248.00,28.60,20203290,803.00,46920,0.87,2153670000,NA,Stock,9/6/23 20:05,No data,NA,NA,NA,NA,No data
REGIONS FINANCIAL CORPORATION (XNYS:RF),RF,REGIONS FINANCIAL CORPORATION,"1900 Fifth Avenue North, BIRMINGHAM, AL, 35203 US",20349,Banking Services,2004,New York Stock Exchange,USD,18.11,18.42,-0.31,-1.68%,18.25,18.35,17.91,24.33,13.94,938377400,7013491.00,6621778,1.21,16994014714,7.86,Stock,9/6/23 23:36,1980-03-17,NA,NA,NA,NA,-0.15
Reliq Health Technologies Inc. (XTSX:RHT),RHT,Reliq Health Technologies Inc.,"406A - 175 Longwood Rd S., HAMILTON, ON, L8P 0A1 CA",NA,Software & IT Services,2005,TSX Venture Exchange,CAD,0.46,0.46,0.00,0.00%,0.45,0.46,0.45,0.76,0.38,203909900,97000.00,212060,1.80,92779004,NA,Stock,9/6/23 18:26,No data,NA,NA,NA,NA,No data
RESOLUTE MINING LIMITED (XASX:RSG),RSG,RESOLUTE MINING LIMITED,"Level 2, Australia Place 15-17 William Street, PERTH, WESTERN AUSTRALIA, 6000 AU",741,Metals & Mining,2001,Australian Securities Exchange,AUD,0.34,0.34,0.00,0.75%,0.34,0.35,0.34,0.53,0.16,2129007000,1798272.00,6814700,1.26,734507300,7.96,Stock,9/7/23 2:38,1998-07-01,NA,NA,NA,NA,0.12
Robertet SA (XPAR:CBE),CBE,Robertet SA,"37 Avenue Sidi-Brahim, Bp 52100, GRASSE, PACA, 06130 FR",2163,Chemicals,1957,Euronext Paris,EUR,797.00,754.00,43.00,5.70%,797.00,797.00,797.00,848.00,700.00,2305590,2.00,230,0.30,1940014000,NA,Stock,9/4/23 16:00,No data,NA,NA,NA,NA,No data
"ROCKWELL AUTOMATION, INC. (XNYS:ROK)",ROK,"ROCKWELL AUTOMATION, INC.","1201 S 2nd St, MILWAUKEE, WI, 53204 US",26000,"Machinery, Equipment & Components",1996,New York Stock Exchange,USD,310.48,307.20,3.28,1.07%,307.28,311.76,307.02,348.52,209.27,114860100,413277.00,851142,1.45,35661763848,25.07,Stock,9/6/23 23:00,1956-08-29,NA,NA,NA,NA,0.19
"ROPER TECHNOLOGIES, INC. (XNAS:ROP)",ROP,"ROPER TECHNOLOGIES, INC.","6496 University Parkway, SARASOTA, FL, 34240 US",15800,Software & IT Services,1981,Nasdaq Stock Market,USD,495.00,493.39,1.61,0.33%,493.39,497.05,492.02,504.73,356.22,106710900,254344.00,293858,1.02,52821895500,45.16,Stock,9/6/23 20:04,1992-02-13,NA,NA,NA,NA,0.14
"ROSS STORES, INC. (XNAS:ROST)",ROST,"ROSS STORES, INC.","5130 Hacienda Drive, DUBLIN, CA, 94568 US",101000,Specialty Retailers,1989,Nasdaq Stock Market,USD,119.95,120.61,-0.66,-0.55%,120.42,120.75,119.35,122.70,81.21,340655900,1897086.00,2478727,0.97,40861675205,25.59,Stock,9/6/23 23:47,1985-08-08,NA,NA,NA,NA,0.04
"RYDER SYSTEM, INC. (XNYS:R)",R,"RYDER SYSTEM, INC.","11690 N.W. 105Th Street, MIAMI, FL, 33178 US",48300,Freight & Logistics Services,1955,New York Stock Exchange,USD,100.00,100.21,-0.21,-0.21%,100.19,100.98,98.96,103.81,65.69,45527260,297574.00,338290,1.57,4552726000,8.84,Stock,9/6/23 23:00,1960-09-19,NA,NA,NA,NA,0.20
SAI.TECH Global Corporation (XNAS:SAI),SAI,SAI.TECH Global Corporation,"437 Madison Avenue, 27th Floor, NEW YORK, NY, 10022 US",28,Financial Technology (Fintech) & Infrastructure,2021,Nasdaq Stock Market,USD,1.29,1.20,0.09,7.50%,1.26,1.35,1.20,7.40,1.00,23743930,75552.00,72809,NA,30629669,NA,Stock,9/6/23 21:44,2021-04-29,NA,NA,NA,NA,-0.40
"SALESFORCE, INC. (XNYS:CRM)",CRM,"SALESFORCE, INC.","SALESFORCE TOWER, 415 MISSION STREET 3RD FL, SAN FRANCISCO, CA, 94105 US",79390,Software & IT Services,1999,New York Stock Exchange,USD,221.62,218.69,2.93,1.34%,219.47,222.21,219.02,238.22,126.34,973000000,5066665.00,5198931,1.19,215636260000,136.95,Stock,9/6/23 23:59,2004-06-23,NA,NA,NA,NA,0.65
SCENTRE GROUP (XASX:SCG),SCG,SCENTRE GROUP,"L 30 85 Castlereagh St, SYDNEY, NEW SOUTH WALES, 2000 AU",3129,Real Estate Operations,1979,Australian Securities Exchange,AUD,2.66,2.68,-0.03,-0.93%,2.68,2.70,2.65,3.13,2.49,5190378000,2171817.00,9412490,1.82,14221640000,45.52,Stock,9/7/23 2:39,No data,NA,NA,NA,NA,No data
Schlumberger N.V. (XNYS:SLB),SLB,Schlumberger N.V.,"5599 San Felipe St Fl 17, HOUSTON, TX, 77056-2790 US",99000,Oil & Gas Related Equipment and Services,1956,New York Stock Exchange,USD,61.00,60.21,0.79,1.31%,60.32,61.36,60.10,61.36,33.80,1421186000,9299837.00,7330432,1.83,86692346000,22.04,Stock,9/6/23 23:58,1962-02-02,NA,NA,NA,NA,0.13
SEA LIMITED (XNYS:SE),SE,SEA LIMITED,"1 Fusionopolis Place, #17-10 Galaxis, 138522 SG",63800,Software & IT Services,2009,New York Stock Exchange,USD,39.22,37.31,1.91,5.12%,37.28,40.12,37.20,88.84,34.87,566758900,12004947.00,9619239,1.74,22228284058,85.47,Stock,9/6/23 23:59,2017-10-20,NA,NA,NA,NA,-0.28
SEALED AIR CORPORATION (XNYS:SEE),SEE,SEALED AIR CORPORATION,"2415 Cascade Pointe Boulevard, CHARLOTTE, NC, 28208 US",16300,Containers & Packaging,1996,New York Stock Exchange,USD,35.47,36.24,-0.77,-2.12%,36.06,36.22,35.39,56.43,33.82,144410200,2353299.00,2290656,1.30,5122229794,13.75,Stock,9/6/23 23:00,1979-05-31,NA,NA,NA,NA,-0.27
SEMPRA (XNYS:SRE),SRE,SEMPRA,"488 8Th Avenue, SAN DIEGO, CA, 92101 US",15785,Multiline Utilities,1996,New York Stock Exchange,USD,69.61,69.20,0.41,0.59%,69.36,69.72,68.88,88.24,68.27,629307100,2018326.00,2292568,0.75,43806067231,17.52,Stock,9/6/23 23:27,1998-06-29,NA,NA,NA,NA,-0.10
"SENTINELONE, INC. (XNYS:S)",S,"SENTINELONE, INC.","444 Castro Street, Suite 400, MOUNTAIN VIEW, CA, 94041 US",2200,Software & IT Services,2013,New York Stock Exchange,USD,17.33,17.89,-0.56,-3.13%,17.57,17.98,17.26,29.44,12.43,295673800,6372101.00,9155373,1.84,5124026953,0.00,Stock,9/6/23 23:49,2021-06-30,NA,NA,NA,NA,0.23
"SIMON PROPERTY GROUP, INC. (XNYS:SPG)",SPG,"SIMON PROPERTY GROUP, INC.","225 W Washington St, INDIANAPOLIS, IN, 46204-3438 US",2500,Residential & Commercial REIT,1998,New York Stock Exchange,USD,115.75,114.94,0.81,0.70%,114.37,115.96,114.25,133.08,86.02,327199000,1921573.00,1321017,1.56,37873284250,17.48,Stock,9/6/23 23:57,1993-12-14,NA,NA,NA,NA,-0.02
SLM CORPORATION (XNAS:SLM),SLM,SLM CORPORATION,"300 Continental Drive, NEWARK, DE, 19713 US",1700,Banking Services,2013,Nasdaq Stock Market,USD,14.30,14.49,-0.19,-1.31%,14.47,14.57,14.26,17.93,10.81,226080900,1447186.00,1268675,1.24,3232956870,9.50,Stock,9/6/23 21:49,1983-09-23,NA,NA,NA,NA,-0.13
SNAP-ON INCORPORATED (XNYS:SNA),SNA,SNAP-ON INCORPORATED,"2801 80th St, KENOSHA, WI, 53143 US",12900,"Machinery, Equipment & Components",1930,New York Stock Exchange,USD,262.50,263.27,-0.77,-0.29%,262.90,265.39,262.25,297.26,200.75,52916550,197447.00,188545,1.11,13890594375,14.60,Stock,9/6/23 23:00,1978-02-27,NA,NA,NA,NA,0.15
SOUTHWEST AIRLINES CO. (XNYS:LUV),LUV,SOUTHWEST AIRLINES CO.,"PO Box 36611, 2702 Love Field Dr, DALLAS, TX, 75235 US",71299,Passenger Transportation Services,1967,New York Stock Exchange,USD,29.97,30.77,-0.80,-2.60%,29.90,30.86,29.75,40.38,28.40,595633700,8878301.00,6140315,1.17,17851141989,35.63,Stock,9/6/23 23:58,1977-06-27,NA,NA,NA,NA,-0.09
SOUTHWESTERN ENERGY COMPANY (XNYS:SWN),SWN,SOUTHWESTERN ENERGY COMPANY,"10000 Energy Drive, SPRING, TX, 77389 US",1118,Oil & Gas,2006,New York Stock Exchange,USD,6.59,6.61,-0.02,-0.30%,6.59,6.67,6.55,8.28,4.57,1101463000,12779688.00,17920811,1.37,7258641170,1.33,Stock,9/6/23 23:30,1981-12-10,NA,NA,NA,NA,0.13
ST. JAMES'S PLACE PLC (XLON:STJ),STJ,ST. JAMES'S PLACE PLC,"St. James's Place House, 1 Tetbury Road, CIRENCESTER, GLOUCESTERSHIRE, GL7 1FP GB",2770,Investment Banking & Investment Services,1996,London Stock Exchange,GBp,854.20,874.00,-19.80,-2.27%,864.20,868.20,854.20,1310.00,847.00,548588700,1470908.00,2579020,1.49,4794666000,13.22,Stock,9/6/23 15:45,No data,NA,NA,NA,NA,No data
"STANLEY BLACK & DECKER, INC. (XNYS:SWK)",SWK,"STANLEY BLACK & DECKER, INC.","1000 Stanley Dr, PO Box 7000, NEW BRITAIN, CT, 06053-1675 US",54200,"Machinery, Equipment & Components",1901,New York Stock Exchange,USD,93.70,92.64,1.06,1.14%,92.52,93.94,92.31,104.21,70.24,153230100,967736.00,1251994,1.37,14195230000,88.61,Stock,9/6/23 23:55,1966-06-15,NA,NA,NA,NA,0.23
STARBUCKS CORPORATION (XNAS:SBUX),SBUX,STARBUCKS CORPORATION,"P O Box 34067, SEATTLE, WA, 98124-1067 US",402000,Hotels & Entertainment Services,1985,Nasdaq Stock Market,USD,95.95,96.84,-0.89,-0.92%,96.42,96.55,95.37,115.48,81.67,1145400000,5428406.00,5490295,0.94,109901130000,34.32,Stock,9/6/23 23:51,1992-06-26,NA,NA,NA,NA,-0.02
STATE GAS LIMITED (XASX:GAS),GAS,STATE GAS LIMITED,"Level 8, 46 Edward Street, SYDNEY, NEW SOUTH WALES, 4000 AU",NA,Oil & Gas Related Equipment and Services,2017,Australian Securities Exchange,AUD,0.16,0.15,0.01,3.33%,0.15,0.16,0.15,0.52,0.15,250832300,8038.00,107980,0.51,38879010,36.59,Stock,9/7/23 2:19,No data,NA,NA,NA,NA,No data
STATE STREET CORPORATION (XNYS:STT),STT,STATE STREET CORPORATION,"1 Congress Street, Suite 1, BOSTON, MA, 02114 US",42688,Investment Banking & Investment Services,1969,New York Stock Exchange,USD,69.86,70.08,-0.22,-0.31%,69.51,70.05,69.13,94.74,58.62,318640300,1845299.00,2090004,1.59,22260211358,9.46,Stock,9/6/23 23:00,1980-03-17,NA,NA,NA,NA,-0.10
"STERICYCLE, INC. (XNAS:SRCL)",SRCL,"STERICYCLE, INC.","2355 Waukegan Road, BANNOCKBURN, IL, 60015 US",14550,Professional & Commercial Services,1989,Nasdaq Stock Market,USD,45.10,44.29,0.81,1.83%,44.44,45.17,44.15,56.12,39.63,92521650,513642.00,385974,1.23,4172726415,190.19,Stock,9/6/23 20:06,1996-08-01,NA,NA,NA,NA,-0.11
STOLT-NIELSEN LIMITED (XOSL:SNI),SNI,STOLT-NIELSEN LIMITED,"4th Floor, Aldwych House,, 71 - 91 Aldwych, LONDON, UNITED KINGDOM-NA, WC2B 4HN GB",6623,Freight & Logistics Services,2010,Oslo Bors Asa,NOK,270.00,272.00,-2.00,-0.74%,272.00,274.50,270.00,347.50,194.80,58523800,46347.00,68440,0.50,16069680000,4.69,Stock,9/6/23 16:00,No data,NA,NA,NA,NA,No data
STRIKE ENERGY LIMITED (XASX:STX),STX,STRIKE ENERGY LIMITED,"Level 2, 66 Kings Park Road, PERTH, WESTERN AUSTRALIA, 6005 AU",24,Oil & Gas,1997,Australian Securities Exchange,AUD,0.39,0.38,0.01,2.63%,0.37,0.39,0.37,0.51,0.21,2535662000,2286182.00,5254280,0.97,963551500,NA,Stock,9/7/23 2:39,2002-12-11,NA,NA,NA,NA,0.35
STRYKER CORPORATION (XNYS:SYK),SYK,STRYKER CORPORATION,"2825 Airview Blvd, KALAMAZOO, MI, 49002 US",51000,Healthcare Equipment & Supplies,1946,New York Stock Exchange,USD,289.10,286.29,2.81,0.98%,286.34,289.98,283.33,306.93,200.80,379778300,1253465.00,1183080,0.96,109793906530,40.45,Stock,9/6/23 23:32,1980-03-17,NA,NA,NA,NA,0.17
SYSCO CORPORATION (XNYS:SYY),SYY,SYSCO CORPORATION,"1390 Enclave Pkwy, HOUSTON, TX, 77077 US",72000,Food & Drug Retailing,1969,New York Stock Exchange,USD,68.45,68.66,-0.21,-0.31%,68.59,69.15,68.24,87.41,68.18,504925800,3112945.00,2455836,1.11,34562171010,19.76,Stock,9/6/23 23:59,1981-01-20,NA,NA,NA,NA,-0.10
"T. ROWE PRICE GROUP, INC. (XNAS:TROW)",TROW,"T. ROWE PRICE GROUP, INC.","P.O. Box 89000, 100 East Pratt Street, BALTIMORE, MD, 21289-0320 US",7868,Investment Banking & Investment Services,2000,Nasdaq Stock Market,USD,111.50,111.81,-0.31,-0.28%,111.43,112.04,110.30,134.64,93.53,224295100,1176280.00,1251517,1.33,25008903650,16.68,Stock,9/6/23 21:00,1986-01-04,NA,NA,NA,NA,0.03
TARGET CORPORATION (XNYS:TGT),TGT,TARGET CORPORATION,"1000 Nicollet Mall, MINNEAPOLIS, MN, 55403 US",440000,Diversified Retail,1902,New York Stock Exchange,USD,123.71,125.19,-1.48,-1.18%,125.19,125.47,123.13,181.70,120.75,461605500,3562081.00,5624680,1.01,57105216405,17.17,Stock,9/6/23 23:58,1969-09-08,NA,NA,NA,NA,-0.16
TE Connectivity Ltd (XNYS:TEL),TEL,TE Connectivity Ltd,"Muehlenstrasse 26, SCHAFFHAUSEN, SCHAFFHAUSEN, 8200 CH",92000,"Machinery, Equipment & Components",2009,New York Stock Exchange,USD,130.06,131.01,-0.95,-0.73%,130.44,131.72,129.57,146.60,104.76,313938600,2715889.00,1519420,1.35,40830854316,20.27,Stock,9/6/23 23:00,2007-06-14,NA,NA,NA,NA,0.14
Technip Energies NV (XPAR:TE),TE,Technip Energies NV,"2126 boulevard de la Defense, Nanterre CEDEX, NANTERRE, ILE-DE-FRANCE, 92741 FR",14515,Oil & Gas Related Equipment and Services,2019,Euronext Paris,EUR,22.41,22.56,-0.15,-0.66%,22.49,22.91,22.35,22.91,10.84,179827500,263685.00,203870,1.06,4056907000,12.68,Stock,9/6/23 16:00,No data,NA,NA,NA,NA,No data
TECHNIPFMC PLC (XNYS:FTI),FTI,TECHNIPFMC PLC,"Hadrian House, Wincomblee Road, LONDON, UNITED KINGDOM-NA, NE6 3PL GB",21972,Oil & Gas Related Equipment and Services,2015,New York Stock Exchange,USD,20.66,20.14,0.52,2.58%,20.00,20.77,19.96,20.77,8.03,438068600,8064528.00,4243144,1.84,9050497276,0.00,Stock,9/6/23 23:20,2017-01-17,NA,NA,NA,NA,0.65
TEN ENTERTAINMENT GROUP PLC (XLON:TEG),TEG,TEN ENTERTAINMENT GROUP PLC,"Aragon House, University Way, Cranfield Technology Park, BEDFORD, BEDFORDSHIRE, MK43 0EQ GB",1700,Hotels & Entertainment Services,2017,London Stock Exchange,GBp,267.50,277.50,-10.00,-3.60%,283.00,283.00,268.00,307.28,183.00,68496120,19908.00,62290,1.72,190076700,7.14,Stock,9/6/23 14:47,No data,NA,NA,NA,NA,No data
TERADATA CORPORATION (XNYS:TDC),TDC,TERADATA CORPORATION,"17095 Via Del Campo, SAN DIEGO, CA, 92127 US",7000,Software & IT Services,2007,New York Stock Exchange,USD,44.81,44.89,-0.08,-0.18%,44.66,45.11,44.46,57.73,28.65,99900000,661714.00,1294291,0.98,4476519000,80.43,Stock,9/6/23 23:00,2007-09-12,NA,NA,NA,NA,0.33
"TERADYNE, INC. (XNAS:TER)",TER,"TERADYNE, INC.","600 Riverpark Dr, NORTH READING, MA, 01864-2634 US",6500,Semiconductors & Semiconductor Equipment,1960,Nasdaq Stock Market,USD,105.58,106.62,-1.04,-0.98%,106.02,107.48,104.88,119.20,67.81,154013700,1463651.00,1353208,1.53,16420950000,31.61,Stock,9/6/23 23:02,1979-05-15,NA,NA,NA,NA,0.22
TESORO GOLD LTD (XASX:TSO),TSO,TESORO GOLD LTD,"Level 48, 152-158 St Georges Terrace, PERTH, WESTERN AUSTRALIA, 6005 AU",NA,Metals & Mining,2003,Australian Securities Exchange,AUD,0.02,0.02,0.00,5.00%,0.02,0.02,0.02,0.05,0.02,1053613000,218452.00,1643190,0.32,22125860,NA,Stock,9/7/23 0:56,No data,NA,NA,NA,NA,No data
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,TEXAS INSTRUMENTS INCORPORATED,"12500 T I Blvd, DALLAS, TX, 75243-0592 US",33000,Semiconductors & Semiconductor Equipment,1938,Nasdaq Stock Market,USD,168.05,169.74,-1.69,-1.00%,169.70,170.03,166.90,188.12,145.97,907966300,4244027.00,4565967,1.01,152583736715,20.37,Stock,9/6/23 23:54,1953-10-01,NA,NA,NA,NA,0.03
TEXTRON INC. (XNYS:TXT),TXT,TEXTRON INC.,"40 WESTMINSTER ST, PROVIDENCE, RI, 02903-2525 US",34000,Aerospace & Defense,1967,New York Stock Exchange,USD,75.98,76.91,-0.93,-1.21%,76.96,77.47,75.66,80.10,58.03,198070600,1037325.00,1072527,1.50,15049404188,17.68,Stock,9/6/23 23:26,1947-12-22,NA,NA,NA,NA,0.09
THC BIOMED INTL LTD. (XCNQ:THC),THC,THC BIOMED INTL LTD.,"Unit 1 - 2550 AclandRoad, KELOWNA, BC, V1X 7L4 CA",35,Pharmaceuticals,1982,Canadian National Stock Exchange,CAD,0.03,0.04,-0.01,-14.29%,0.03,0.03,0.03,0.08,0.02,163938600,18050.00,18540,0.61,4918158,NA,Stock,9/6/23 17:35,1981-05-22,411000000,NA,NA,NA,0.57
THE AES CORPORATION (XNYS:AES),AES,THE AES CORPORATION,"4300 Wilson Blvd, ARLINGTON, VA, 22203 US",9100,Electrical Utilities & IPPs,1981,New York Stock Exchange,USD,17.43,17.44,-0.01,-0.06%,17.42,17.44,17.22,29.89,17.22,669629000,10448964.00,5438085,0.97,11671633470,0.00,Stock,9/6/23 23:41,1991-06-26,-546000000,1374000000,1799000000,6491000000,-0.39
THE ALLSTATE CORPORATION (XNYS:ALL),ALL,THE ALLSTATE CORPORATION,"3100 SANDERS ROAD, NORTHBROOK, IL, 60062 US",54000,Insurance,1992,New York Stock Exchange,USD,107.93,107.22,0.71,0.66%,107.32,108.93,106.88,142.15,100.57,261573800,1360291.00,1503568,0.57,28231660234,NA,Stock,9/6/23 23:00,1993-06-03,-1311000000,NA,NA,343000000,-0.21
THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),BK,THE BANK OF NEW YORK MELLON CORPORATION,"240 Greenwich Street, NEW YORK, NY, 10286 US",53200,Investment Banking & Investment Services,2007,New York Stock Exchange,USD,44.68,45.20,-0.52,-1.15%,45.00,45.26,44.52,52.26,36.22,778782500,3894961.00,3514957,1.08,34796002100,13.14,Stock,9/6/23 23:00,2007-07-02,2573000000,NA,NA,30181000000,-0.01
THE BOEING COMPANY (XNYS:BA),BA,THE BOEING COMPANY,"929 Long Bridge Drive, ARLINGTON, VA, 22202 US",156000,Aerospace & Defense,1934,New York Stock Exchange,USD,217.95,222.57,-4.62,-2.08%,221.77,222.79,216.42,243.10,120.99,603203600,4233537.00,4416570,1.43,131468224620,NA,Stock,9/6/23 23:59,1934-09-05,-4935000000,14614000000,11151000000,90052000000,0.17
THE CHARLES SCHWAB CORPORATION (XNYS:SCHW),SCHW,THE CHARLES SCHWAB CORPORATION,"3000 Schwab Way, WESTLAKE, TX, 76262 US",36600,Investment Banking & Investment Services,1986,New York Stock Exchange,USD,58.27,59.68,-1.41,-2.36%,58.97,59.30,57.67,86.63,45.00,1821113000,8534787.00,8032470,0.92,106116254510,17.40,Stock,9/6/23 23:54,1987-09-22,7183000000,40195000000,66591000000,494336000000,-0.28
THE CIGNA GROUP (XNYS:CI),CI,THE CIGNA GROUP,"900 Cottage Grove Road, BLOOMFIELD, CT, 06002-2920 US",71300,Healthcare Providers & Services,2018,New York Stock Exchange,USD,275.63,278.75,-3.12,-1.12%,277.30,278.15,274.90,340.11,240.50,295980100,1004092.00,1374675,0.67,81580994963,12.70,Stock,9/6/23 23:00,1982-04-01,6668000000,5924000000,17218000000,41225000000,-0.16
THE CLOROX COMPANY (XNYS:CLX),CLX,THE CLOROX COMPANY,"1221 Broadway, The Clorox Company, OAKLAND, CA, 94612-1888 US",8700,Personal & Household Products & Services,1986,New York Stock Exchange,USD,153.60,153.46,0.14,0.09%,153.50,154.63,152.60,178.21,124.58,123826000,871651.00,1276161,0.26,19019673600,130.86,Stock,9/6/23 23:10,1928-08-01,149000000,367000000,688000000,1917000000,0.09
THE COCA-COLA COMPANY (XNYS:KO),KO,THE COCA-COLA COMPANY,"1 Coca Cola Plz NW, ATLANTA, GA, 30313-2420 US",82500,Beverages,1919,New York Stock Exchange,USD,58.78,58.82,-0.04,-0.07%,58.62,58.83,58.42,64.99,54.02,4324345000,13923548.00,9132794,0.55,254184999100,24.31,Stock,9/6/23 23:59,1950-01-26,9542000000,9519000000,3487000000,19724000000,-0.08
THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),EL,THE ESTEE LAUDER COMPANIES INC.,"767 5th Ave, NEW YORK, NY, 10153 US",62000,Personal & Household Products & Services,1976,New York Stock Exchange,USD,156.58,161.07,-4.49,-2.79%,159.72,160.06,156.48,283.62,147.18,357690800,1845532.00,3009478,1.03,56007225464,57.88,Stock,9/6/23 23:49,1995-11-17,1006000000,4029000000,1452000000,6240000000,-0.35
