Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
FIRST HORIZON CORPORATION (XNYS:FHN),FHN,FIRST HORIZON CORPORATION,"165 Madison Ave, MEMPHIS, TN, 38103 US",7397,Banking Services,1968,New York Stock Exchange,USD,11.98,12.49,-0.51,-4.08%,12.44,12.48,11.88,24.92,8.99,558701900,5718472.00,5172043,0.96,6693248762,8.40,Stock,9/6/23 23:15,1999-07-28,NA,NA,NA,NA,-0.49
"FIRST SOLAR, INC. (XNAS:FSLR)",FSLR,"FIRST SOLAR, INC.","350 West Washington Street, Suite 600, TEMPE, AZ, 85288 US",5500,Renewable Energy,2003,Nasdaq Stock Market,USD,182.09,186.48,-4.39,-2.35%,189.10,189.70,177.73,232.00,115.66,106831400,2257234.00,1869220,1.39,19452929626,128.15,Stock,9/6/23 23:24,2006-11-17,-44166000,NA,354991000,NA,0.24
FIRSTENERGY CORP. (XNYS:FE),FE,FIRSTENERGY CORP.,"76 S Main St, AKRON, OH, 44308-1890 US",12335,Electrical Utilities & IPPs,1996,New York Stock Exchange,USD,35.09,34.96,0.13,0.37%,35.00,35.17,34.69,43.31,34.69,573362400,3638016.00,3200256,0.45,20119286616,43.86,Stock,9/6/23 23:00,1946-09-13,406000000,160000000,1318000000,3958000000,-0.17
"FISERV, INC. (XWBO:FISV)",FISV,"FISERV, INC.","Po Box 979, 255 Fiserv Dr, BROOKFIELD, WI, 53045 US",41000,Professional & Commercial Services,1992,Wiener Boerse,EUR,115.15,117.65,-2.50,-2.12%,117.55,117.85,113.85,NA,NA,609614900,173.00,1863020,0.88,80287330000,31.37,Stock,7/26/23 15:50,1986-09-25,2530000000,902000000,3585000000,26458000000,0.13
FLEXIROAM LIMITED (XASX:FRX),FRX,FLEXIROAM LIMITED,"22-1, Jalan PJU 8/3a, Damansara Perdana, PETALING  JAYA, SELANGOR, 47820 MY",NA,Telecommunications Services,2010,Australian Securities Exchange,AUD,0.02,0.02,0.00,0.00%,0.02,0.02,0.02,0.06,0.02,664191700,855464.00,498010,0.69,15940600,NA,Stock,9/7/23 2:07,No data,NA,NA,NA,NA,No data
FLOWSERVE CORPORATION (XNYS:FLS),FLS,FLOWSERVE CORPORATION,"5215 N. O'connor Blvd., Suite 700, IRVING, TX, 75039 US",17000,"Machinery, Equipment & Components",1912,New York Stock Exchange,USD,40.38,38.86,1.52,3.91%,38.94,40.51,38.94,40.51,23.89,131207300,1637723.00,881847,1.61,5298150774,21.52,Stock,9/6/23 23:54,1997-07-23,188689000,434971000,1102089000,1243151000,0.27
FLUOR CORPORATION. (XNYS:FLR),FLR,FLUOR CORPORATION.,"6700 Las Colinas Blvd, IRVING, TX, 75039 US",39576,Construction & Engineering,2000,New York Stock Exchange,USD,36.17,36.39,-0.22,-0.60%,36.36,36.74,35.70,38.20,23.37,143368300,1246117.00,2382803,2.26,5185631411,40.53,Stock,9/6/23 23:00,1980-03-17,145000000,2439000000,2024000000,3216000000,0.05
FORD MOTOR COMPANY (XFRA:FMC1),FMC1,FORD MOTOR COMPANY,"One American Road, DEARBORN, MI, 48126-2701 US",173000,Automobiles & Auto Parts,1919,Deutsche Boerse AG,EUR,11.14,11.18,0.14,1.25%,11.10,11.32,11.09,22.41,3.74,4002226000,80.00,34469620,1.62,48386910000,11.80,Stock,9/6/23 20:05,No data,NA,NA,NA,NA,No data
FORD MOTOR COMPANY (XNYS:F),F,FORD MOTOR COMPANY,"One American Road, DEARBORN, MI, 48126-2701 US",173000,Automobiles & Auto Parts,1919,New York Stock Exchange,USD,12.07,12.09,-0.02,-0.17%,12.00,12.11,11.83,15.42,10.37,4002226000,41881456.00,44497556,1.62,48306867820,11.73,Stock,9/6/23 23:59,1956-03-07,-1981000000,25134000000,15916000000,96866000000,0.04
"FOSSIL GROUP, INC. (XNAS:FOSL)",FOSL,"FOSSIL GROUP, INC.","901 S Central Expy, RICHARDSON, TX, 75080 US",6900,Textiles & Apparel,1991,Nasdaq Stock Market,USD,2.05,2.12,-0.07,-3.30%,2.10,2.12,2.05,6.08,1.89,52464540,222837.00,434371,2.14,107552306,22.69,Stock,9/6/23 23:54,1993-04-01,-44157000,198726000,206133000,425920000,-0.51
"FRANKLIN RESOURCES, INC. (XNYS:BEN)",BEN,"FRANKLIN RESOURCES, INC.","Building 920, One Franklin Parkway, SAN MATEO, CA, 94403 US",9300,Investment Banking & Investment Services,1969,New York Stock Exchange,USD,26.11,26.13,-0.02,-0.08%,26.04,26.36,25.88,34.37,20.24,498977800,2592622.00,2367518,1.32,13028310358,16.33,Stock,9/6/23 23:00,1986-12-05,1291900000,4782500000,1264800000,3629000000,-0.01
FREEPORT-MCMORAN INC. (XNYS:FCX),FCX,FREEPORT-MCMORAN INC.,"333 N Central Ave, PHOENIX, AZ, 85004 US",25600,Metals & Mining,1987,New York Stock Exchange,USD,40.41,40.80,-0.39,-0.96%,40.13,40.47,39.69,46.73,26.03,1433636000,7647774.00,9236671,2.06,57933230759,28.04,Stock,9/6/23 23:59,1988-05-05,3468000000,8146000000,1336000000,6345000000,0.07
GAMESTOP CORP. (XNYS:GME),GME,GAMESTOP CORP.,"625 Westport Pkwy, GRAPEVINE, TX, 76051 US",11000,Specialty Retailers,2005,New York Stock Exchange,USD,18.75,19.23,-0.48,-2.50%,19.06,19.15,18.42,34.99,15.41,304751300,6107245.00,2608850,-0.20,5714086875,0.00,Stock,9/7/23 0:00,2002-02-12,-313100000,1139000000,153900000,1339100000,0.04
